mese,categoria,tipo_giorno,fascia_oraria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2024-06,,infrasettimanale,mattina,1152,1152,0,0,0,0,286,590,276,590,388,265,135,50,14544.0,1089.0,13455.0,11.6796875,5.0,35.90000000000009,57.0,0
2024-06,,infrasettimanale,notte,391,391,0,0,0,0,111,145,134,145,90,55,27,8,2982.0,553.0,2429.0,6.228205128205128,2.0,19.200000000000045,36.0,0
2024-06,,infrasettimanale,pomeriggio,987,987,0,0,0,0,231,580,175,580,406,309,170,74,16424.0,656.0,15768.0,15.991886409736308,7.0,49.0,73.75,0
2024-06,,infrasettimanale,sera,386,386,0,0,0,0,102,191,91,191,117,77,33,7,3769.0,353.0,3416.0,8.895833333333334,4.0,27.0,38.69999999999993,0
2024-06,,infrasettimanale,tarda_mattina,1027,1027,0,0,0,0,266,573,187,573,396,301,185,91,18406.0,665.0,17741.0,17.29142300194932,6.0,52.5,82.75,0
2024-06,,weekend,mattina,549,549,0,0,0,0,137,259,149,259,167,127,60,25,7272.0,655.0,6617.0,12.141284403669724,4.0,31.600000000000023,53.799999999999955,0
2024-06,,weekend,notte,151,151,0,0,0,0,37,50,62,50,34,25,14,5,1566.0,306.0,1260.0,8.456375838926174,1.0,28.0,41.0,0
2024-06,,weekend,pomeriggio,477,477,0,0,0,0,126,213,131,213,138,106,48,16,5103.0,459.0,4644.0,9.880851063829788,4.0,30.100000000000023,46.0,0
2024-06,,weekend,sera,184,184,0,0,0,0,45,54,81,54,31,17,7,1,927.0,521.0,406.0,2.2555555555555555,0.0,14.0,25.14999999999995,0
2024-06,,weekend,tarda_mattina,448,448,0,0,0,0,109,222,110,222,159,118,69,26,6595.0,432.0,6163.0,13.975056689342404,5.0,41.0,69.0,0
2024-06,EC,infrasettimanale,mattina,27,27,0,0,0,0,6,6,15,6,3,2,1,1,227.0,75.0,152.0,5.62962962962963,-3.0,9.400000000000002,14.199999999999996,0
2024-06,EC,infrasettimanale,pomeriggio,104,104,0,0,0,0,24,65,15,65,43,25,15,4,1403.0,32.0,1371.0,13.182692307692308,7.0,35.400000000000006,47.69999999999999,0
2024-06,EC,infrasettimanale,sera,41,41,0,0,0,0,7,30,4,30,17,11,7,1,561.0,9.0,552.0,13.463414634146341,8.0,33.0,43.0,0
2024-06,EC,infrasettimanale,tarda_mattina,109,109,0,0,0,0,27,54,27,54,35,22,11,6,1589.0,113.0,1476.0,13.666666666666666,4.5,25.799999999999983,73.04999999999968,0
2024-06,EC,weekend,mattina,18,18,0,0,0,0,7,3,8,3,1,1,1,1,90.0,32.0,58.0,3.2222222222222223,0.0,7.600000000000001,17.39999999999992,0
2024-06,EC,weekend,notte,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0
2024-06,EC,weekend,pomeriggio,58,58,0,0,0,0,20,26,12,26,18,15,7,2,636.0,24.0,612.0,10.551724137931034,3.5,36.60000000000001,49.499999999999986,0
2024-06,EC,weekend,sera,27,27,0,0,0,0,11,12,4,12,7,6,2,1,244.0,8.0,236.0,8.74074074074074,3.0,23.200000000000006,31.999999999999993,0
2024-06,EC,weekend,tarda_mattina,62,62,0,0,0,0,15,25,20,25,16,7,3,1,418.0,83.0,335.0,5.583333333333333,2.5,15.0,26.449999999999974,0
2024-06,EN,infrasettimanale,notte,15,15,0,0,0,0,0,13,2,13,13,13,9,3,923.0,7.0,916.0,61.06666666666667,38.0,127.99999999999997,207.39999999999984,0
2024-06,EN,infrasettimanale,pomeriggio,6,6,0,0,0,0,1,5,0,5,2,1,1,1,107.0,0.0,107.0,17.833333333333332,9.0,38.5,51.25,0
2024-06,EN,infrasettimanale,sera,1,1,0,0,0,0,0,1,0,1,1,1,1,0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,0
2024-06,EN,weekend,notte,9,9,0,0,0,0,2,6,1,6,3,3,2,2,514.0,2.0,512.0,56.888888888888886,8.0,204.00000000000003,245.99999999999997,0
2024-06,EN,weekend,pomeriggio,4,4,0,0,0,0,1,3,0,3,3,3,3,2,229.0,0.0,229.0,57.25,62.5,93.4,96.69999999999999,0
2024-06,EXP,infrasettimanale,notte,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0
2024-06,EXP,infrasettimanale,pomeriggio,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8.0,0.0,8.0,4.0,4.0,7.2,7.6,0
2024-06,EXP,infrasettimanale,sera,5,5,0,0,0,0,1,3,1,3,3,2,1,1,224.0,1.0,223.0,44.6,14.0,120.20000000000002,154.59999999999997,0
2024-06,EXP,infrasettimanale,tarda_mattina,4,4,0,0,0,0,0,2,2,2,1,1,1,1,232.0,7.0,225.0,56.25,3.0,158.80000000000004,190.89999999999992,0
2024-06,EXP,weekend,sera,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,27.0,-27.0,-13.5,-13.5,-3.4999999999999996,-2.250000000000001,0
2024-06,EXP,weekend,tarda_mattina,2,2,0,0,0,0,0,1,1,1,1,1,1,0,38.0,40.0,-2.0,-1.0,-1.0,30.200000000000003,34.099999999999994,0
