mese,tipo_giorno,fascia_oraria,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,ruolo,nome_stazione
2024-06,weekend,mattina,,N_188AB87A65BC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,arrivo,UDINE
2024-06,weekend,mattina,,N_188AB87A65BC,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,11.0,-11.0,-5.5,-5.5,-1.9,-1.4500000000000004,0,partenza,UDINE
2024-06,weekend,mattina,,N_244C15F9662C,1,1,0,0,0,0,0,1,0,1,1,0,0,0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,partenza,SIBARI
2024-06,weekend,mattina,,N_26FAC2401D1E,10,10,0,0,0,0,3,6,1,6,4,1,0,0,68.0,1.0,67.0,6.7,5.5,11.699999999999998,14.849999999999993,0,arrivo,VENEZIA SANTA LUCIA
2024-06,weekend,mattina,,N_26FAC2401D1E,7,7,0,0,0,0,3,2,2,2,0,0,0,0,26.0,11.0,15.0,2.142857142857143,4.0,8.4,8.7,0,partenza,VENEZIA SANTA LUCIA
2024-06,weekend,mattina,,N_29D6951DFB5A,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,arrivo,TRIESTE CENTRALE
2024-06,weekend,mattina,,N_29D6951DFB5A,3,3,0,0,0,0,1,2,0,2,2,1,0,0,28.0,0.0,28.0,9.333333333333334,12.0,14.4,14.7,0,partenza,TRIESTE CENTRALE
2024-06,weekend,mattina,,N_2B5A38574141,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0,arrivo,BARI CENTRALE
2024-06,weekend,mattina,,N_2B5A38574141,2,2,0,0,0,0,0,1,1,1,1,1,0,0,29.0,6.0,23.0,11.5,11.5,25.5,27.25,0,partenza,BARI CENTRALE
2024-06,weekend,mattina,,N_55C18CEAEA1C,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,partenza,BENEVENTO
