cod_stazione,nome_stazione,lat,lon
N_979136A15902,1`BIVIO ORTE NORD,42.475556,12.341486
N_7B52E45BD1E7,1`BIVIO ORTE SUD,42.407221,12.417056
S06053,1°BIVIO VALDARNO SUD,43.530523,11.632189
N_1080E9330622,ABBADIA LARIANA,45.900045,9.334056
N_EBF731234772,ABBASANTA,40.126533,8.816188
N00018,ABBIATE GUAZZONE,,
S01062,ABBIATEGRASSO,45.351414,8.889014
S09215,ACERRA,40.940292,14.391895
S12328,ACIREALE,37.595927,15.1614
S00867,ACQUI TERME,44.672515,8.473436
S05420,ADRIA,45.052075,12.134891
S12216,AGRIGENTO CENTRALE,37.30911,13.584725
N_4F73CB411D5C,AGROPOLI CASTELLABATE,40.351649,15.001795
S02049,ALA,41.941718,12.517773
S04515,ALASSIO,44.008011,8.173027
S00825,ALBA,42.834342,13.927816
N_65F33B41585B,ALBACINA,43.349389,12.994869
S01059,ALBAIRATE-VERMEZZO,45.404439,8.957963
S08704,ALBANO LAZIALE,41.691868,12.650606
S04516,ALBENGA,44.054384,8.213436
N_219921EADB85,ALBIZZATE SOLBIATE ARNO,45.723211,8.806282
S12150,ALCAMO DIRAMAZIONE,37.978899,12.915729
S12320,ALCANTARA,37.821592,15.251231
S00470,ALESSANDRIA,44.906572,8.250932
S12011,ALTAVILLA MILICIA,,
N_2EEDBA5BA5F3,ALTOPASCIO,43.811776,10.675674
N_2A2F431CEA83,ALVIANO,42.590989,12.260085
N_4C68DE9C8AA5,AMANTEA,39.133189,16.074591
S01527,AMBIVERE MAPELLO,,
N_3C9DD23DE13B,AMOROSI MELIZZANO,41.192836,14.479285
N_64F166622602,ANAGNI-FIUGGI,41.71041,13.096018
S07113,ANCONA,43.501588,13.155565
S04525,ANDORA,43.959849,8.139178
S08318,ANGUILLARA,42.089176,12.278646
N_AAD295A403C7,ANTRODOCO BORGO VELINO,42.410465,13.071519
S07435,ANTRODOCO CENTRO,42.415356,13.076281
S08705,APRILIA,41.59238,12.639325
N_510A05222E88,ARDARA,40.63201,8.818497
S09839,ARECHI,40.645562,14.82359
S06915,AREZZO,43.480385,11.618367
S01020,ARONA,45.780027,8.536597
S04207,ARQUATA SCRIVIA,44.687845,8.885338
S07550,ASCOLI PICENO,42.954307,13.882036
S07008,ASSISI,43.059227,12.587867
N00079,ASSO,45.864831,9.269124
S00462,ASTI,44.962113,7.949161
N_36BF9CCFCA7F,ATTIGLIANO,42.517945,12.294657
S08207,ATTIGLIANO-BOMARZO,42.517945,12.294657
S12345,AUGUSTA,46.480058,11.340178
S06013,AULLA LUNIGIANA,44.173758,9.927416
S09006,AVERSA,40.972923,14.217844
S08526,AVEZZANO,41.22504,13.938568
S03087,AVIANO,46.064332,12.590198
S00214,AVIGLIANA,45.085244,7.401129
N_313578DDB59E,AVIGLIANO LUCANIA,40.714972,15.785171
S12008,BAGHERIA,38.078476,13.500507
N_C76EB5A1BB68,BAGNI DI LUCCA,44.00349,10.551788
S08504,BAGNI DI TIVOLI,41.949739,12.722253
S01901,BAGNOLO MELLA,45.428633,10.183935
S09832,BARAGIANO-RUOTI,40.695002,15.569672
S05929,BARCO,,
S00202,BARDONECCHIA,45.078702,6.709829
S11119,BARI CENTRALE,41.11795,16.87024
N_9FF339099644,BARI S. SPIRITO,45.1812,9.165088
S11126,BARI TORRE A MARE,41.08304,16.99442
S11108,BARLETTA,41.314913,16.27824
N_FE24CD5F4593,BARONISSI,40.745865,14.772492
S02832,BASILIANO,38.46791,16.448808
S02520,BASSANO DEL GRAPPA,45.766056,11.741348
S09823,BATTIPAGLIA,40.606046,14.982869
N_45FDE096C05C,BAZZANO,44.50823,11.077694
S05975,BAZZANO (FER),,
N_41F140F8E4FB,BEFFI,42.197397,13.660865
S01864,BELGIOIOSO,45.158565,9.313756
S02559,BELLUNO,46.137576,12.316378
S09311,BENEVENTO,41.210501,14.571487
N_9B3B1889810C,BERCETO,44.555821,9.931947
S01529,BERGAMO,45.995695,10.06204
S01488,BESANA,45.702621,9.28304
N_7C5098FCE3DA,BIANCO,45.873367,9.651042
N_B5E50B059160,BIANZE`,45.309691,8.116719
S12338,BICOCCA,45.51472,9.207955
S00070,BIELLA S.PAOLO,45.556927,8.06741
N_7166E486B80E,BISCEGLIE,41.240779,16.501912
S11252,BITRITTO,41.043869,16.832771
N_6AD9E1F33E5C,BIVIO D`AURISINA,45.75419,13.656149
N00221,BOARIO TERME,45.886688,10.18175
S09453,BOIANO,41.487787,14.474402
S05050,BOLOGNA CABINA S.DONATO,,
S05043,BOLOGNA CENTRALE,44.506326,11.340498
S05019,BOLOGNA ROVERI,,
S05130,BOLOGNA S.RUFFILLO,44.463071,11.372863
S02026,BOLZANO,38.201179,15.634813
N_E1C307FF32C6,BORGO A BUGGIANO,43.880547,10.730108
S06604,BORGO S.LORENZO,44.00539,11.489606
S00981,BORGO TICINO,45.188917,9.145598
S06161,BORGO VAL DI TARO,44.53288,9.876132
N_599112EDCFE7,BORGO VALSUGANA CENTRO,46.05137,11.454069
S02314,BORGO VALSUGANA EST,46.052406,11.463868
S00016,BORGOMANERO,45.699905,8.462346
N_6D5DFFE30F85,BORORE,40.216854,8.803725
S00882,BOSCONERO,,
N_1D2ADBE09D9D,BOVALINO,38.149182,16.18043
S01920,BOZZOLO,45.107228,10.473336
S00821,BRA,44.693619,7.849202
S08315,BRACCIANO,42.081131,12.213935
S11857,BRANCALEONE,37.965548,16.103119
S02001,BRENNERO,47.002312,11.504836
N00226,BRENO,45.955509,10.309131
N_2B704D6CA19B,BRESCELLO VIADANA,44.898,10.519676
S01717,BRESCIA,45.532652,10.214422
S01805,BRESSANA BOTTARONE,45.076633,9.133211
S02014,BRESSANONE,46.709877,11.650002
S11136,BRINDISI,40.657721,17.935166
N_7042F88D6524,BRONI,45.062162,9.261191
N_42FF2E67E0FD,BRONZOLO,46.404393,11.317409
N_E39FA138A6BA,BRUNICO,46.794275,11.930524
N_0D2920696248,BUCCINO S.,40.634203,15.367676
S09828,BUCCINO S.GREGORIO MAGNO,40.600823,15.374289
S03088,BUDOIA POLCENIGO,46.031578,12.53758
S05017,BUDRIO,44.533457,11.528652
S06874,BUONCONVENTO,43.135518,11.483566
S04215,BUSALLA,44.574986,8.943241
S01963,BUSSETO,44.980957,10.042475
S00208,BUSSOLENO,45.139271,7.147717
S01031,BUSTO ARSIZIO,45.615717,8.864577
S01137,BUSTO ARSIZIO NORD,,
S05301,BUTTAPIETRA,,
S12891,CAGLIARI,39.216201,9.107221
S12890,CAGLIARI ELMAS,39.26461,9.045901
S02550,CALALZO PIEVE CADORE CORTINA,46.44394,12.388554
N_2C6FF78E4023,CALDONAZZO,45.995427,11.263974
S01524,CALOLZIOCORTE OLGINATE,45.80176,9.427106
S12270,CALTAGIRONE,37.22924,14.528114
S12381,CALTANISSETTA CENTRALE,37.488541,14.057548
S12380,CALTANISSETTA XIRBI,37.536271,14.058064
N_68D62D86646B,CALUSO,45.303252,7.902475
S01316,CAMNAGO-LENTATE,45.668294,9.133272
S09825,CAMPAGNA SERRE PERSANO,,
S06031,CAMPIGLIA MARITTIMA,43.017268,10.586607
S08706,CAMPO DI CARNE,41.552121,12.63516
S12211,CAMPOFRANCO,37.510118,13.686614
S08602,CAMPOLEONE,41.642549,12.648415
N_4A9D640E2613,CAMPOSAMPIERO,45.568358,11.926755
S09213,CANCELLO,40.994323,14.419215
N_4D5C9AA763FF,CANDELA,41.187849,15.532651
S00512,CANDIOLO,44.959244,7.601722
S12375,CANICATTI\',37.359929,13.85524
N_EA569153A391,CAPACCIO ROCCADASPIDE,40.454499,15.013717
S08850,CAPISTRELLO,41.970503,13.399075
N_47A789481B35,CAPRANICA,42.232286,12.154218
S08311,CAPRANICA-SUTRI,42.245219,12.157181
N_06F2305DF710,CARBONIA SERBARIU,39.164128,8.512929
N_EB1CAE238ADA,CARIATI,39.496749,16.951986
S01315,CARIMATE,45.699037,9.109728
S12127,CARINI,38.163404,13.218292
S00601,CARMAGNOLA,44.84477,7.71304
S01511,CARNATE USMATE,45.653183,9.374913
S03016,CARNIA,46.373291,13.134872
S02349,CARPI,44.782201,10.891868
S00314,CASALE MONFERRATO,45.161966,8.521426
S05111,CASALECCHIO GARIBALDI,44.48307,11.27371
N_1D217E64F12B,CASALEGGIO,45.491308,8.490326
N_005D256278A2,CASALETTO VAPRIO,45.408174,9.628758
N_C1458DA43C0C,CASALGRANDE,44.585552,10.735999
N_052CAEB4C95F,CASALMAGGIORE,44.992836,10.424818
N_5D40E77CB78C,CASALNUOVO,40.911323,14.328226
S01827,CASALPUSTERLENGO,45.182806,9.651882
S02830,CASARSA,45.941468,12.83631
S09211,CASERTA,40.961423,14.187722
N_83A896D0D0F4,CASORIA,40.908143,14.297074
S01707,CASSANO D\'ADDA,,
N_52AF166FEF76,CASSANO D`ADDA,45.51536,9.511489
S08671,CASSINO,41.485153,13.830616
S05053,CASTEL S.PIETRO TERME,44.406822,11.597059
N_40611E6A6CC5,CASTELBOLOGNESE,44.325398,11.803965
S05056,CASTELBOLOGNESE-RIOLO TERME,44.325398,11.803965
N_DE311FE18061,CASTELFRANCO D'EMILIA,44.636192,11.180336
S05037,CASTELFRANCO EMILIA,44.597306,11.0564
S02537,CASTELFRANCO VENETO,45.666629,11.933186
N_125DC6FA2BA7,CASTELGUELFO,44.828918,10.195395
N_473DBA85076A,CASTELLALTO CANZANO,42.695659,13.792965
S09756,CASTELLAMMARE DI STABIA,40.718375,14.491794
N_E6047F4B6A8B,CASTELLINA CH,42.876983,12.734232
S02507,CASTELLO DI GODEGO,45.688515,11.877703
N_EB7E4660B484,CASTELNUOVO DI GARFAGNANA,44.115877,10.409936
S07204,CASTELPLANIO CUPRAMONTANA,43.481431,13.084756
S12113,CASTELVETRANO,37.683706,12.798777
N_324961D5B416,CASTELVETRO,45.100066,9.982121
N_56C67D6A0C05,CASTIGLION FIORENTINO,43.341715,11.92378
S11909,CASTIGLIONE COSENTINO,39.35538,16.244063
N_952F5E73BA7F,CASTIONE DEI MARCHESI,44.915341,10.044199
S12337,CATANIA ACQUICELLA,37.492589,15.075125
S12332,CATANIA CENTRALE,37.506713,15.099929
S11833,CATANZARO LIDO,38.821992,16.612742
S07102,CATTOLICA S.GIOVANNI GABICCE,43.959973,12.745105
N_C8BED739BD93,CAVA CARBONARA,45.146964,9.071492
N_F4DE4E0030E9,CAVALLERMAGGIORE,44.709143,7.69125
S08732,CECCHINA,41.691868,12.650606
S06026,CECINA,43.310375,10.514512
S12019,CEFALU\',38.032974,14.01952
N_EE86D98A1207,CEFALU`,38.032974,14.01952
N_653519C2980D,CELANO-OVINDOLI,42.077155,13.543426
N_F8BEF705E1C9,CERIGNOLA,41.315063,15.893816
N_1B5E441912FF,CERTALDO,43.5472,11.037829
N_F63181DDD5C1,CERTOSA DI PAVIA,45.256345,9.156918
N_7287F55A3530,CERVIA-MILANO MARITTIMA,44.258486,12.347302
N_7CD0EE7E4D13,CERVIGNANO A.G.,45.823504,13.340318
S08319,CESANO DI ROMA,42.068706,12.331139
S01086,CESANO MADERNO,45.627443,9.142037
N_51F4DD6171CF,CESENA,44.145312,12.249491
N_6C755D3478E3,CESENATICO,44.200635,12.391417
N00228,CETO - CERVENO,,
S00742,CEVA,44.389662,8.031763
S01301,CHIASSO,45.829268,9.037882
S04722,CHIAVARI,44.31434,9.321412
S01400,CHIAVENNA,46.320186,9.405205
S00500,CHIERI,45.006221,7.822573
S07712,CHIETI,42.356821,14.138255
S05428,CHIOGGIA,,
