giorno,ora,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2026-02-12,13:00,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,0
2026-02-12,14:00,1,1,0,0,0,0,0,1,0,1,1,1,1,1,96,0,96,96.0,96.0,96.0,96.0,0
2026-02-12,15:00,1,0,0,0,1,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,1
2026-02-12,16:00,3,2,0,0,1,0,0,3,0,3,2,2,2,1,139,0,139,46.333333333333336,53.0,73.0,75.5,1
2026-02-12,17:00,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,5,-4,-2.0,-2.0,0.40000000000000013,0.6999999999999997,1
2026-02-12,18:00,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,-17,-17.0,-17.0,-17.0,-17.0,0
2026-02-12,19:00,5,5,0,0,0,0,1,3,1,3,3,1,1,1,145,4,141,28.2,10.0,76.60000000000001,98.79999999999998,0
2026-02-12,20:00,11,11,0,0,0,0,2,6,3,6,5,3,0,0,91,12,79,7.181818181818182,8.0,19.0,19.5,0
2026-02-12,21:00,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,1.0,1.0,1.8,1.9,0
2026-02-12,22:00,23,23,0,0,0,0,10,2,11,2,1,1,1,1,106,39,67,2.9130434782608696,0.0,3.8000000000000007,7.599999999999994,0
2026-02-12,23:00,67,67,0,0,0,0,20,10,37,10,3,2,2,1,210,95,115,1.7164179104477613,-1.0,7.0,8.699999999999996,0
2026-02-13,00:00,57,56,0,1,0,0,14,6,37,6,3,2,0,0,85,84,1,0.017543859649122806,-1.0,4.399999999999999,8.399999999999991,0
2026-02-13,01:00,38,36,1,1,0,0,16,2,20,2,1,1,0,0,49,46,3,0.07894736842105263,-1.0,3.3000000000000043,4.149999999999999,1
2026-02-13,02:00,10,10,0,0,0,0,3,1,6,1,0,0,0,0,8,13,-5,-0.5,-1.0,2.3999999999999986,4.199999999999996,0
2026-02-13,03:00,8,7,1,0,0,0,2,3,3,3,3,3,2,2,174,5,169,21.125,0.5,74.6,75.3,1
2026-02-13,04:00,73,68,4,1,0,0,33,15,25,15,11,10,7,2,538,67,471,6.4520547945205475,1.0,26.799999999999997,45.99999999999987,4
2026-02-13,05:00,518,496,14,7,1,0,226,102,190,102,44,28,14,5,2000,488,1512,2.918918918918919,1.0,7.300000000000011,15.0,15
2026-02-13,06:00,751,719,19,13,0,0,326,147,278,147,67,39,11,2,2438,688,1750,2.3302263648468706,1.0,8.0,15.0,19
2026-02-13,07:00,624,591,17,16,0,0,290,126,208,126,41,25,12,1,2006,575,1431,2.293269230769231,1.0,8.0,12.0,17
2026-02-13,08:00,526,504,16,6,0,0,240,80,206,80,32,24,7,1,1536,550,986,1.8745247148288973,1.0,6.0,13.75,16
2026-02-13,09:00,443,422,12,8,1,0,178,78,187,78,31,17,5,2,1265,487,778,1.7562076749435667,0.0,7.0,11.899999999999977,13
2026-02-13,10:00,386,375,5,6,0,0,176,65,145,65,23,15,3,0,958,380,578,1.4974093264248705,0.0,6.0,11.5,5
2026-02-13,11:00,437,422,10,5,0,0,179,72,186,72,28,18,9,2,1297,484,813,1.860411899313501,0.0,6.0,11.199999999999989,10
2026-02-13,12:00,523,502,16,4,1,0,247,62,214,62,21,13,4,2,1202,546,656,1.254302103250478,0.0,5.0,9.0,17
2026-02-13,13:00,607,583,20,4,0,0,274,94,239,94,42,29,9,3,1771,615,1156,1.9044481054365734,0.0,7.0,12.699999999999932,20
2026-02-13,14:00,550,525,20,4,1,0,243,68,239,68,18,10,5,1,1168,582,586,1.0654545454545454,0.0,6.0,8.0,21
2026-02-13,15:00,566,542,17,7,0,0,261,74,231,74,33,16,5,1,1307,578,729,1.2879858657243817,0.0,6.0,10.0,17
2026-02-13,16:00,582,564,10,7,1,0,242,99,241,99,35,24,10,0,1586,691,895,1.5378006872852235,0.0,6.0,12.0,11
2026-02-13,17:00,624,599,12,12,1,0,271,138,215,138,43,28,9,0,1940,562,1378,2.2083333333333335,1.0,8.0,13.0,13
2026-02-13,18:00,610,591,15,4,0,0,278,150,182,150,52,30,7,0,2142,499,1643,2.6934426229508195,2.0,8.100000000000023,14.0,15
2026-02-13,19:00,535,520,8,7,0,0,246,101,188,101,42,17,2,0,1490,498,992,1.8542056074766355,1.0,8.0,12.0,8
2026-02-13,20:00,425,417,6,2,0,0,183,79,163,79,30,15,2,0,1122,436,686,1.6141176470588234,1.0,7.0,11.799999999999955,6
2026-02-13,21:00,287,284,1,2,0,0,135,45,107,45,12,4,1,1,667,314,353,1.2299651567944252,1.0,6.0,9.0,1
2026-02-13,22:00,166,166,0,0,0,0,70,18,78,18,4,1,0,0,283,186,97,0.5843373493975904,0.0,5.0,7.0,0
2026-02-13,23:00,78,77,1,0,0,0,30,7,41,7,2,2,1,0,157,109,48,0.6153846153846154,-1.0,3.299999999999997,8.0,1
2026-02-14,00:00,59,59,0,0,0,0,18,6,35,6,0,0,0,0,61,87,-26,-0.4406779661016949,-1.0,3.4000000000000057,6.0,0
2026-02-14,01:00,36,36,0,0,0,0,15,5,16,5,2,2,1,0,102,71,31,0.8611111111111112,0.0,6.0,11.0,0
2026-02-14,02:00,10,10,0,0,0,0,4,1,5,1,0,0,0,0,8,12,-4,-0.4,-0.5,2.299999999999999,3.649999999999997,0
2026-02-14,03:00,6,6,0,0,0,0,2,2,2,2,1,1,0,0,23,2,21,3.5,1.5,10.0,12.5,0
2026-02-14,04:00,71,71,0,0,0,0,30,14,27,14,6,5,2,0,269,83,186,2.619718309859155,1.0,9.0,19.0,0
2026-02-14,05:00,455,443,7,4,1,0,200,86,169,86,43,26,16,9,2352,441,1911,4.2,1.0,9.0,18.299999999999955,8
2026-02-14,06:00,641,631,7,3,0,0,279,127,235,127,57,44,26,12,3436,645,2791,4.354134165366615,1.0,9.0,22.0,7
2026-02-14,07:00,539,526,4,9,0,0,226,106,207,106,48,36,20,12,3099,542,2557,4.743970315398887,1.0,8.199999999999989,19.099999999999966,4
2026-02-14,08:00,460,448,6,6,0,0,195,72,193,72,30,23,13,8,2043,490,1553,3.376086956521739,0.0,6.0,14.249999999999773,6
2026-02-14,09:00,395,391,3,1,0,0,164,70,161,70,27,19,11,8,1688,415,1273,3.222784810126582,0.0,7.0,14.0,3
2026-02-14,10:00,350,342,5,3,0,0,160,66,124,66,33,21,12,8,2055,326,1729,4.94,0.5,9.0,21.100000000000023,5
2026-02-14,11:00,378,367,6,5,0,0,164,59,155,59,31,25,10,6,1530,409,1121,2.9656084656084656,0.0,7.0,20.0,6
2026-02-14,12:00,465,455,4,6,0,0,220,55,190,55,23,21,7,4,1383,477,906,1.9483870967741936,0.0,5.0,9.0,4
2026-02-14,13:00,530,513,5,12,0,0,230,77,223,77,33,25,15,11,2249,607,1642,3.09811320754717,0.0,6.0,13.0,5
2026-02-14,14:00,466,453,3,10,0,0,214,75,177,75,32,20,9,4,1562,394,1168,2.5064377682403434,1.0,7.0,12.75,3
2026-02-14,15:00,464,444,10,10,0,0,203,71,190,71,26,17,9,5,1625,503,1122,2.418103448275862,0.0,7.0,10.849999999999966,10
2026-02-14,16:00,458,443,6,9,0,0,210,62,186,62,28,25,16,9,1879,512,1367,2.98471615720524,0.0,6.0,17.149999999999977,6
2026-02-14,17:00,493,476,13,4,0,0,222,84,187,84,34,25,12,3,1692,515,1177,2.387423935091278,1.0,7.0,14.399999999999977,13
2026-02-14,18:00,477,466,3,8,0,0,205,77,195,77,29,19,11,5,1518,509,1009,2.1153039832285114,0.0,7.0,12.199999999999989,3
2026-02-14,19:00,438,426,5,7,0,0,199,62,177,62,28,22,8,2,1261,469,792,1.8082191780821917,0.0,6.0,14.149999999999977,5
2026-02-14,20:00,362,357,2,3,0,0,161,47,154,47,19,6,2,0,739,395,344,0.9502762430939227,0.0,6.0,9.949999999999989,2
2026-02-14,21:00,249,247,0,2,0,0,112,29,108,29,11,5,3,0,515,285,230,0.9236947791164659,0.0,5.0,8.599999999999994,0
2026-02-14,22:00,145,144,1,0,0,0,57,13,75,13,2,2,1,0,223,194,29,0.2,-1.0,4.0,6.0,1
2026-02-14,23:00,10,8,0,2,0,0,4,0,6,0,0,0,0,0,2,9,-7,-0.7,-1.0,0.1999999999999993,1.0999999999999979,0
2026-02-15,00:00,59,56,1,2,0,0,23,4,32,4,0,0,0,0,54,82,-28,-0.4745762711864407,-1.0,3.200000000000003,5.0,1
2026-02-15,01:00,36,35,0,1,0,0,13,3,20,3,0,0,0,0,32,77,-45,-1.25,-1.0,2.5,6.25,0
2026-02-15,02:00,11,11,0,0,0,0,6,0,5,0,0,0,0,0,6,10,-4,-0.3636363636363636,0.0,1.0,2.5,0
2026-02-15,03:00,4,4,0,0,0,0,1,0,3,0,0,0,0,0,2,47,-45,-11.25,-2.5,1.1000000000000003,1.549999999999999,0
2026-02-15,04:00,30,29,1,0,0,0,13,0,17,0,0,0,0,0,23,42,-19,-0.6333333333333333,-1.0,3.0,3.0,1
2026-02-15,05:00,216,212,1,2,1,0,78,26,112,26,8,5,1,0,394,394,0,0.0,-1.0,5.5,7.0,2
2026-02-15,06:00,355,353,1,1,0,0,129,36,190,36,9,6,1,0,528,606,-78,-0.2197183098591549,-1.0,4.600000000000023,7.0,1
2026-02-15,07:00,355,353,1,1,0,0,136,32,187,32,8,1,0,0,450,607,-157,-0.4422535211267606,-1.0,4.0,6.0,1
2026-02-15,08:00,344,342,1,1,0,0,145,35,164,35,10,6,3,1,622,474,148,0.4302325581395348,0.0,4.699999999999989,7.0,1
2026-02-15,09:00,309,307,2,0,0,0,125,32,152,32,9,4,2,1,562,407,155,0.5016181229773463,0.0,5.0,6.0,2
2026-02-15,10:00,315,313,2,0,0,0,129,31,155,31,15,9,3,0,613,454,159,0.5047619047619047,0.0,4.0,9.0,2
