mese,categoria,cod_stazione,ruolo,oltre_10,info_mancante,in_ritardo,in_orario,parzialmente_cancellate,in_anticipo,minuti_ritardo_tot,oltre_5,corse_osservate,oltre_15,oltre_30,minuti_anticipo_tot,oltre_60,effettuate,soppresse,cancellate_tot,minuti_netti_tot,cancellate,nome_stazione,ritardo_medio,ritardo_mediano,p95,p90
2026-03,FR,S02593,partenza,163,0,354,266,0,272,5459.0,354,892,90,28,1431.0,6,891,0,1,4028.0,1,VENEZIA S.LUCIA,4.515695067264574,3.0,22.0,14.899999999999975
2026-03,FR,S03026,arrivo,12,0,19,22,0,13,296.0,19,54,5,2,30.0,0,54,0,0,266.0,0,UDINE,4.925925925925926,3.0,19.399999999999977,12.700000000000005
2026-03,FR,S03026,partenza,12,0,32,21,0,0,460.0,32,53,6,3,0.0,1,53,0,0,460.0,0,UDINE,8.679245283018869,5.0,26.99999999999998,15.400000000000016
2026-03,FR,S03304,arrivo,0,0,7,8,0,14,55.0,7,29,0,0,46.0,0,29,0,0,9.0,0,GORIZIA CENTRALE,0.3103448275862069,0.0,6.599999999999998,6.0
2026-03,FR,S03304,partenza,1,0,2,1,0,27,26.0,2,30,1,0,201.0,0,30,0,0,-175.0,0,GORIZIA CENTRALE,-5.833333333333333,-8.0,3.649999999999992,-0.6999999999999957
2026-03,FR,S03317,arrivo,20,0,35,26,0,77,635.0,35,138,14,2,277.0,1,138,0,0,358.0,0,TRIESTE CENTRALE,2.5942028985507246,-1.0,22.0,12.899999999999991
2026-03,FR,S03317,partenza,37,0,77,46,0,29,1414.0,77,152,21,11,171.0,4,152,0,0,1243.0,0,TRIESTE CENTRALE,8.177631578947368,5.0,38.44999999999999,21.90000000000001
2026-03,FR,S04700,arrivo,1,0,1,4,0,0,45.0,1,5,1,1,0.0,0,5,0,0,45.0,0,GENOVA PIAZZA PRINCIPE,9.0,2.0,31.8,24.6
2026-03,FR,S04700,partenza,0,0,0,2,0,3,6.0,0,5,0,0,35.0,0,5,0,0,-29.0,0,GENOVA PIAZZA PRINCIPE,-5.8,-1.0,3.0,3.0
2026-03,FR,S04702,arrivo,19,0,25,5,0,1,500.0,25,31,16,5,24.0,0,30,0,1,476.0,1,GENOVA BRIGNOLE,15.35483870967742,15.0,39.0,35.0
2026-03,FR,S04702,partenza,15,0,18,8,0,5,361.0,18,31,7,3,14.0,1,31,0,0,347.0,0,GENOVA BRIGNOLE,11.193548387096774,8.0,39.0,23.0
2026-03,FR,S05301,arrivo,1,0,1,0,0,0,112.0,1,1,1,1,0.0,1,0,0,1,112.0,1,BUTTAPIETRA,112.0,112.0,112.0,112.0
2026-03,FR,S06421,arrivo,7,0,10,11,0,42,163.0,10,63,2,1,182.0,0,63,0,0,-19.0,0,FIRENZE SANTA MARIA NOVELLA,-0.3015873015873015,-2.0,12.9,9.800000000000004
2026-03,FR,S06421,partenza,3,0,7,19,0,44,120.0,7,70,1,1,178.0,0,70,0,0,-58.0,0,FIRENZE SANTA MARIA NOVELLA,-0.8285714285714286,-2.0,7.649999999999991,4.100000000000001
2026-03,FR,S07004,arrivo,12,0,19,4,0,2,279.0,19,25,7,1,6.0,0,25,0,0,273.0,0,PERUGIA,10.92,9.0,28.8,25.60000000000001
2026-03,FR,S07004,partenza,3,0,10,7,0,9,103.0,10,26,2,0,26.0,0,26,0,0,77.0,0,PERUGIA,2.9615384615384617,1.0,15.25,9.5
2026-03,FR,S07104,arrivo,3,0,3,0,0,0,48.0,3,3,1,0,0.0,0,3,0,0,48.0,0,PESARO,16.0,12.0,22.8,21.600000000000005
2026-03,FR,S07104,partenza,0,0,0,3,0,0,8.0,0,3,0,0,0.0,0,3,0,0,8.0,0,PESARO,2.6666666666666665,2.0,3.7999999999999994,3.6
2026-03,FR,S07113,arrivo,17,0,26,11,0,23,406.0,26,60,9,2,119.0,0,60,0,0,287.0,0,ANCONA,4.783333333333333,3.0,25.14999999999999,21.0
2026-03,FR,S07113,partenza,14,0,23,20,0,26,434.0,23,69,10,4,107.0,1,69,0,0,327.0,0,ANCONA,4.739130434782608,2.0,28.799999999999983,20.200000000000003
2026-03,FR,S07810,arrivo,18,0,23,6,0,27,411.0,23,56,10,3,180.0,0,56,0,0,231.0,0,PESCARA,4.125,3.0,27.75,23.0
2026-03,FR,S07810,partenza,12,0,22,14,0,25,448.0,22,61,7,2,91.0,1,61,0,0,357.0,0,PESCARA,5.852459016393443,2.0,24.0,20.0
2026-03,FR,S08409,arrivo,114,0,186,232,0,523,4205.0,186,941,85,37,3430.0,11,939,0,2,775.0,2,ROMA TERMINI,0.8235919234856536,-2.0,24.0,12.0
2026-03,FR,S08409,partenza,156,0,293,297,0,381,5257.0,293,971,100,37,1497.0,9,969,0,2,3760.0,2,ROMA TERMINI,3.8722966014418128,1.0,26.0,15.0
2026-03,FR,S09218,arrivo,127,0,250,317,0,410,5076.0,250,977,84,33,1637.0,11,976,0,1,3439.0,1,NAPOLI CENTRALE,3.519959058341863,1.0,24.19999999999993,12.0
2026-03,FR,S09218,partenza,211,0,414,290,0,263,7232.0,414,967,126,55,921.0,12,960,0,7,6311.0,7,NAPOLI CENTRALE,6.526370217166495,3.0,32.69999999999993,19.0
2026-03,FR,S09810,arrivo,0,0,1,1,0,2,8.0,1,4,0,0,4.0,0,4,0,0,4.0,0,POMPEI,1.0,0.5,4.699999999999999,4.4
2026-03,FR,S09810,partenza,0,0,0,0,0,1,0.0,0,1,0,0,2.0,0,1,0,0,-2.0,0,POMPEI,-2.0,-2.0,-2.0,-2.0
2026-03,FR,S09818,arrivo,40,0,62,59,0,139,1395.0,62,260,23,12,834.0,4,260,0,0,561.0,0,SALERNO,2.157692307692308,-1.0,29.0,13.099999999999994
2026-03,FR,S09818,partenza,61,0,99,87,0,60,1919.0,99,246,36,15,196.0,5,245,0,1,1723.0,1,SALERNO,7.004065040650406,3.0,34.5,19.5
2026-03,FR,S09823,arrivo,2,0,3,8,0,3,52.0,3,14,0,0,5.0,0,14,0,0,47.0,0,BATTIPAGLIA,3.357142857142857,3.0,11.7,9.200000000000006
