mese,categoria,cod_stazione,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ruolo,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,EXP,S12002,0,2,0,41.0,0,-41.0,2,0,0,0,0,0,0,0,0,0,2,0.0,nodo,PALERMO CENTRALE,-20.5,-20.5,-20.5,-20.5
2024-06,EXP,S12301,0,1,0,1.0,0,-1.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,MESSINA CENTRALE,-1.0,-1.0,-1.0,-1.0
2024-06,IC,N_25B9CF10B7D2,0,197,0,206.0,9,2254.0,197,54,62,0,92,45,92,0,0,19,49,2460.0,nodo,BOLOGNA C.LE,4.25,50.57499999999998,11.398165717900063,30.90000000000001
2024-06,IC,N_54735EC5B62B,0,5,0,3.0,2,552.0,5,1,3,0,3,3,3,0,0,2,1,555.0,nodo,VILLA SAN GIOVANNI,133.25,149.675,135.91666666666666,147.85000000000002
2024-06,IC,N_66EFE7185ACC,0,38,0,42.0,3,461.0,38,7,11,0,17,7,17,0,0,4,14,503.0,nodo,GENOVA P.PRINCIPE,2.0,58.999999999999986,11.166666666666666,40.9
2024-06,IC,N_6DAD4A05816E,0,57,0,81.0,0,353.0,57,14,17,0,23,10,23,0,0,5,20,434.0,nodo,FIRENZE S.M.N.,2.25,38.3,6.844017094017094,25.85000000000001
2024-06,IC,N_DEBAB2A3D4C0,0,298,0,666.0,9,1961.0,298,80,71,0,103,56,103,0,0,28,115,2627.0,nodo,REGGIO CALABRIA CENTRALE,0.5,48.85,6.509299386059949,25.75
2024-06,IC,N_FEBDC4EA7CA2,0,135,0,186.0,1,594.0,135,42,21,0,46,14,46,0,0,5,47,780.0,nodo,TORINO P.NUOVA,2.5,20.52499999999999,4.381822183098592,12.85
2024-06,IC,S00202,0,15,0,22.0,0,58.0,15,1,5,0,7,1,7,0,0,0,6,80.0,nodo,BARDONECCHIA,2.0,14.799999999999995,4.142857142857142,13.6
2024-06,IC,S00470,0,1,0,0.0,0,4.0,1,1,0,0,0,0,0,0,0,0,0,4.0,nodo,ALESSANDRIA,4.0,4.0,4.0,4.0
