mese,tipo_giorno,fascia_oraria,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2024-06,weekend,mattina,,N_188AB87A65BC,N_ACF3D2764DA3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,UDINE,MILANO CENTRALE
2024-06,weekend,mattina,,N_188AB87A65BC,N_F047351D32A4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0,UDINE,NAPOLI CENTRALE
2024-06,weekend,mattina,,N_244C15F9662C,N_EE539AC676E9,1,1,0,0,0,0,0,1,0,1,1,0,0,0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,SIBARI,BOLZANO
2024-06,weekend,mattina,,N_26FAC2401D1E,N_ACF3D2764DA3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,5.0,0.0,5.0,2.5,2.5,3.7,3.8499999999999996,0,VENEZIA SANTA LUCIA,MILANO CENTRALE
2024-06,weekend,mattina,,N_26FAC2401D1E,N_BF0DC42C9523,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,VENEZIA SANTA LUCIA,LECCE
2024-06,weekend,mattina,,N_26FAC2401D1E,N_F047351D32A4,2,2,0,0,0,0,0,1,1,1,0,0,0,0,9.0,7.0,2.0,1.0,1.0,7.4,8.2,0,VENEZIA SANTA LUCIA,NAPOLI CENTRALE
2024-06,weekend,mattina,,N_26FAC2401D1E,N_FEBDC4EA7CA2,2,2,0,0,0,0,1,1,0,1,0,0,0,0,12.0,0.0,12.0,6.0,6.0,7.6,7.8,0,VENEZIA SANTA LUCIA,TORINO P.NUOVA
2024-06,weekend,mattina,,N_29D6951DFB5A,N_ACF3D2764DA3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,TRIESTE CENTRALE,MILANO CENTRALE
2024-06,weekend,mattina,,N_29D6951DFB5A,N_E903EB64CBF3,1,1,0,0,0,0,0,1,0,1,1,1,0,0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0,TRIESTE CENTRALE,ROMA TERMINI
2024-06,weekend,mattina,,N_29D6951DFB5A,N_FEBDC4EA7CA2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,TRIESTE CENTRALE,TORINO P.NUOVA
2024-06,weekend,mattina,,N_2B5A38574141,N_ACF3D2764DA3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0,BARI CENTRALE,MILANO CENTRALE
2024-06,weekend,mattina,,N_2B5A38574141,N_E903EB64CBF3,1,1,0,0,0,0,0,1,0,1,1,1,0,0,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,BARI CENTRALE,ROMA TERMINI
2024-06,weekend,mattina,,N_55C18CEAEA1C,N_ACF3D2764DA3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,BENEVENTO,MILANO CENTRALE
2024-06,weekend,mattina,,N_66EFE7185ACC,N_E903EB64CBF3,2,2,0,0,0,0,0,2,0,2,2,0,0,0,25.0,0.0,25.0,12.5,12.5,13.7,13.85,0,GENOVA P.PRINCIPE,ROMA TERMINI
2024-06,weekend,mattina,,N_6DAD4A05816E,N_AF7C7C87621E,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,FIRENZE S.M.N.,FIUMICINO AEROPORTO
2024-06,weekend,mattina,,N_6DAD4A05816E,N_F047351D32A4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,FIRENZE S.M.N.,NAPOLI CENTRALE
2024-06,weekend,mattina,,N_6DCA844AE5BC,N_FEBDC4EA7CA2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,TARANTO,TORINO P.NUOVA
2024-06,weekend,mattina,,N_72DA38E192FF,N_ACF3D2764DA3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,PESCARA,MILANO CENTRALE
2024-06,weekend,mattina,,N_ACF3D2764DA3,N_188AB87A65BC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,MILANO CENTRALE,UDINE
