giorno,ora,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2024-06-08,00:00,REG,9,9,0,0,0,0,6,1,2,1,1,0,0,0,19.0,2.0,17.0,1.8888888888888888,1.0,4.000000000000002,7.9999999999999964,0
2024-06-08,01:00,NCL,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,21.0,-21.0,-21.0,-21.0,-21.0,-21.0,0
2024-06-08,02:00,NCL,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.0,-26.0,-26.0,-26.0,-26.0,-26.0,0
2024-06-08,03:00,NCL,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,31.0,-31.0,-31.0,-31.0,-31.0,-31.0,0
2024-06-08,03:00,REG,5,5,0,0,0,0,3,0,2,0,0,0,0,0,4.0,7.0,-3.0,-0.6,0.0,2.2,2.5999999999999996,0
2024-06-08,04:00,EN,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
2024-06-08,04:00,IC,2,2,0,0,0,0,2,0,0,0,0,0,0,0,3.0,0.0,3.0,1.5,1.5,2.7,2.8499999999999996,0
2024-06-08,04:00,REG,59,59,0,0,0,0,23,2,34,2,1,1,1,0,77.0,104.0,-27.0,-0.4576271186440678,-1.0,3.0,3.0999999999999943,0
2024-06-08,05:00,,21,21,0,0,0,0,4,8,9,8,4,1,1,0,112.0,48.0,64.0,3.0476190476190474,1.0,13.0,13.0,0
2024-06-08,05:00,EN,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
2024-06-08,05:00,IC,7,7,0,0,0,0,5,1,1,1,0,0,0,0,15.0,1.0,14.0,2.0,2.0,4.200000000000001,5.099999999999998,0
2024-06-08,05:00,ICN,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,18.0,-18.0,-18.0,-18.0,-18.0,-18.0,0
2024-06-08,05:00,MET,7,7,0,0,0,0,5,0,2,0,0,0,0,0,1.0,4.0,-3.0,-0.42857142857142855,0.0,0.40000000000000036,0.6999999999999993,0
2024-06-08,05:00,REG,395,395,0,0,0,0,163,33,196,33,12,7,1,0,575.0,545.0,30.0,0.07653061224489796,-0.5,4.0,6.0,0
2024-06-08,06:00,,34,34,0,0,0,0,10,12,12,12,7,2,0,0,149.0,55.0,94.0,2.764705882352941,1.0,11.0,13.049999999999994,0
2024-06-08,06:00,IC,12,12,0,0,0,0,4,4,4,4,2,1,0,0,48.0,13.0,35.0,2.9166666666666665,1.0,13.300000000000002,14.45,0
2024-06-08,06:00,MET,14,14,0,0,0,0,6,1,7,1,0,0,0,0,10.0,11.0,-1.0,-0.07142857142857142,-0.5,2.0,3.049999999999999,0
2024-06-08,06:00,REG,565,565,0,0,0,0,258,58,247,58,21,6,1,0,930.0,626.0,304.0,0.5399644760213144,0.0,5.0,7.899999999999977,0
2024-06-08,07:00,,24,24,0,0,0,0,5,10,9,10,8,3,0,0,149.0,56.0,93.0,3.875,3.0,15.399999999999999,21.949999999999985,0
2024-06-08,07:00,EC,3,3,0,0,0,0,1,0,2,0,0,0,0,0,2.0,8.0,-6.0,-2.0,-2.0,1.2000000000000002,1.5999999999999996,0
2024-06-08,07:00,IC,11,11,0,0,0,0,4,3,4,3,1,1,1,0,62.0,14.0,48.0,4.363636363636363,2.0,6.0,24.0,0
2024-06-08,07:00,MET,14,14,0,0,0,0,3,0,11,0,0,0,0,0,6.0,34.0,-28.0,-2.0,-2.0,1.0,2.049999999999999,0
