mese,tipo_giorno,fascia_oraria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2024-06,infrasettimanale,mattina,26277,26277,0,0,0,0,11965,4563,9630,4563,1860,1097,420,123,83475.0,24507.0,58968.0,2.2543007875219816,1.0,7.0,12.0,0
2024-06,infrasettimanale,notte,10733,10733,0,0,0,0,4333,1575,4770,1575,670,391,158,38,29172.0,12687.0,16485.0,1.5438284322906912,0.0,6.0,11.0,0
2024-06,infrasettimanale,pomeriggio,31244,31244,0,0,0,0,13583,6690,10788,6690,3016,1826,676,182,120524.0,27629.0,92895.0,2.9907279224751298,1.0,9.0,16.0,0
2024-06,infrasettimanale,sera,24889,24889,0,0,0,0,10275,5283,9185,5283,2433,1459,525,119,93581.0,24876.0,68705.0,2.7767449379622517,1.0,9.0,17.0,0
2024-06,infrasettimanale,tarda_mattina,32113,32113,0,0,0,0,14142,5853,11994,5853,2547,1559,618,210,114328.0,30799.0,83529.0,2.6111788427271874,1.0,8.0,14.0,0
2024-06,weekend,mattina,9603,9603,0,0,0,0,3997,1494,3786,1494,692,437,178,59,30750.0,10173.0,20577.0,2.2180661851891776,0.0,7.0,14.0,0
2024-06,weekend,notte,3945,3945,0,0,0,0,1529,491,1829,491,233,139,58,18,10745.0,5500.0,5245.0,1.3626916082099247,0.0,6.0,11.0,0
2024-06,weekend,pomeriggio,11213,11213,0,0,0,0,4499,2082,4227,2082,973,602,225,53,37921.0,11317.0,26604.0,2.4615099925980757,1.0,9.0,16.0,0
2024-06,weekend,sera,9148,9148,0,0,0,0,3597,1599,3640,1599,723,409,131,34,27831.0,9995.0,17836.0,2.0185604345857855,0.0,8.0,14.0,0
2024-06,weekend,tarda_mattina,11183,11183,0,0,0,0,4546,1943,4281,1943,844,525,210,65,36433.0,11359.0,25074.0,2.328133704735376,1.0,8.0,14.0,0
2024-07,infrasettimanale,mattina,8764,8764,0,0,0,0,4024,1581,3135,1581,646,369,125,25,27252.0,8057.0,19195.0,2.196224256292906,1.0,7.0,13.0,0
2024-07,infrasettimanale,notte,3397,3397,0,0,0,0,1397,561,1430,561,242,151,46,7,9452.0,3817.0,5635.0,1.6632231404958677,0.0,7.0,13.0,0
2024-07,infrasettimanale,pomeriggio,10367,10367,0,0,0,0,4584,2204,3515,2204,968,556,174,27,36696.0,8848.0,27848.0,2.702902067359022,1.0,9.0,15.899999999999636,0
2024-07,infrasettimanale,sera,7674,7674,0,0,0,0,3294,1508,2822,1508,642,345,97,11,24286.0,7292.0,16994.0,2.2290136411332635,1.0,8.0,13.0,0
2024-07,infrasettimanale,tarda_mattina,10780,10780,0,0,0,0,4762,1964,4036,1964,844,484,142,27,33536.0,10029.0,23507.0,2.184259431332466,1.0,8.0,13.0,0
2024-07,weekend,mattina,1512,1512,0,0,0,0,686,217,606,217,85,49,23,1,3848.0,1607.0,2241.0,1.485089463220676,0.0,6.0,10.0,0
2024-07,weekend,notte,628,628,0,0,0,0,237,75,270,75,34,20,6,3,1442.0,794.0,648.0,1.1134020618556701,0.0,6.0,10.949999999999932,0
2024-07,weekend,pomeriggio,1741,1741,0,0,0,0,712,327,696,327,143,87,38,9,5864.0,1792.0,4072.0,2.3469740634005762,0.0,8.0,14.299999999999955,0
2024-07,weekend,sera,1316,1316,0,0,0,0,508,213,509,213,107,58,20,4,4042.0,1391.0,2651.0,2.1552845528455284,0.0,8.0,14.0,0
2024-07,weekend,tarda_mattina,1951,1951,0,0,0,0,861,294,795,294,105,64,20,10,5608.0,2037.0,3571.0,1.8312820512820513,0.0,6.0,10.0,0
