mese,tipo_giorno,fascia_oraria,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2024-06,weekend,mattina,,N_188AB87A65BC,arrivo,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_188AB87A65BC,partenza,"(-15,-10]",1,0.0,10.0
2024-06,weekend,mattina,,N_188AB87A65BC,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,,N_244C15F9662C,partenza,"(10,15]",1,12.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(1,5]",3,11.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(10,15]",2,22.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(15,30]",1,18.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,arrivo,"(5,10]",2,16.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,partenza,"(-10,-5]",1,0.0,7.0
2024-06,weekend,mattina,,N_26FAC2401D1E,partenza,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_26FAC2401D1E,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,partenza,"(1,5]",2,8.0,0.0
2024-06,weekend,mattina,,N_26FAC2401D1E,partenza,"(5,10]",2,17.0,0.0
2024-06,weekend,mattina,,N_29D6951DFB5A,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,,N_29D6951DFB5A,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_29D6951DFB5A,partenza,"(10,15]",2,27.0,0.0
2024-06,weekend,mattina,,N_2B5A38574141,arrivo,"(1,5]",1,5.0,0.0
2024-06,weekend,mattina,,N_2B5A38574141,partenza,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,,N_2B5A38574141,partenza,"(15,30]",1,29.0,0.0
2024-06,weekend,mattina,,N_55C18CEAEA1C,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,,N_66EFE7185ACC,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,,N_66EFE7185ACC,partenza,"(10,15]",2,25.0,0.0
2024-06,weekend,mattina,,N_6DAD4A05816E,partenza,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,,N_6DCA844AE5BC,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,,N_72DA38E192FF,partenza,"(-10,-5]",1,0.0,5.0
