mese,categoria,tipo_giorno,fascia_oraria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2024-06,,infrasettimanale,mattina,N_188AB87A65BC,N_ACF3D2764DA3,15,15,0,0,0,0,2,13,0,13,7,3,1,0,172.0,0.0,172.0,11.466666666666667,9.0,23.799999999999997,29.299999999999997,0,UDINE,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_188AB87A65BC,N_F047351D32A4,14,14,0,0,0,0,2,4,8,4,4,3,3,1,184.0,33.0,151.0,10.785714285714286,-2.0,47.60000000000002,61.39999999999999,0,UDINE,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_244C15F9662C,N_EE539AC676E9,15,15,0,0,0,0,0,13,2,13,10,7,3,0,301.0,3.0,298.0,19.866666666666667,11.0,49.4,51.599999999999994,0,SIBARI,BOLZANO
2024-06,,infrasettimanale,mattina,N_26FAC2401D1E,N_ACF3D2764DA3,30,30,0,0,0,0,6,24,0,24,10,4,0,0,262.0,0.0,262.0,8.733333333333333,8.0,15.200000000000003,18.64999999999999,0,VENEZIA SANTA LUCIA,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_26FAC2401D1E,N_BF0DC42C9523,15,15,0,0,0,0,2,4,9,4,3,3,2,1,156.0,51.0,105.0,7.0,-4.0,42.19999999999999,62.29999999999999,0,VENEZIA SANTA LUCIA,LECCE
2024-06,,infrasettimanale,mattina,N_26FAC2401D1E,N_F047351D32A4,30,30,0,0,0,0,13,10,7,10,4,1,0,0,120.0,17.0,103.0,3.433333333333333,3.0,11.200000000000003,13.549999999999997,0,VENEZIA SANTA LUCIA,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_26FAC2401D1E,N_FEBDC4EA7CA2,30,30,0,0,0,0,2,28,0,28,20,12,3,1,506.0,0.0,506.0,16.866666666666667,12.5,29.900000000000013,47.34999999999995,0,VENEZIA SANTA LUCIA,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_29D6951DFB5A,N_ACF3D2764DA3,15,15,0,0,0,0,1,14,0,14,8,5,2,0,234.0,0.0,234.0,15.6,10.0,30.999999999999996,40.69999999999998,0,TRIESTE CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_29D6951DFB5A,N_E903EB64CBF3,15,15,0,0,0,0,5,10,0,10,8,4,3,0,186.0,0.0,186.0,12.4,10.0,32.6,36.29999999999999,0,TRIESTE CENTRALE,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_29D6951DFB5A,N_FEBDC4EA7CA2,14,14,0,0,0,0,2,12,0,12,11,6,0,0,195.0,0.0,195.0,13.928571428571429,13.0,22.0,23.4,0,TRIESTE CENTRALE,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_2B5A38574141,N_ACF3D2764DA3,15,15,0,0,0,0,2,11,2,11,8,7,4,3,399.0,3.0,396.0,26.4,13.0,80.19999999999999,93.79999999999998,0,BARI CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_2B5A38574141,N_E903EB64CBF3,15,15,0,0,0,0,0,15,0,15,13,13,9,4,615.0,0.0,615.0,41.0,40.0,69.19999999999999,74.89999999999999,0,BARI CENTRALE,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_55C18CEAEA1C,N_ACF3D2764DA3,14,14,0,0,0,0,5,9,0,9,5,2,2,2,231.0,0.0,231.0,16.5,5.0,56.80000000000007,78.1,0,BENEVENTO,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_55C18CEAEA1C,N_BAF228E8D2C5,1,1,0,0,0,0,0,1,0,1,1,1,0,0,26.0,0.0,26.0,26.0,26.0,26.0,26.0,0,BENEVENTO,MILANO ROGOREDO
2024-06,,infrasettimanale,mattina,N_66EFE7185ACC,N_E903EB64CBF3,30,30,0,0,0,0,10,17,3,17,13,8,2,0,289.0,8.0,281.0,9.366666666666667,5.5,21.1,27.49999999999997,0,GENOVA P.PRINCIPE,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_6DAD4A05816E,N_AF7C7C87621E,15,15,0,0,0,0,10,2,3,2,0,0,0,0,33.0,4.0,29.0,1.9333333333333333,2.0,5.799999999999999,7.0,0,FIRENZE S.M.N.,FIUMICINO AEROPORTO
2024-06,,infrasettimanale,mattina,N_6DAD4A05816E,N_F047351D32A4,14,14,0,0,0,0,0,3,11,3,2,2,1,0,69.0,44.0,25.0,1.7857142857142858,-3.5,19.500000000000014,28.199999999999996,0,FIRENZE S.M.N.,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_6DCA844AE5BC,N_FEBDC4EA7CA2,1,1,0,0,0,0,0,1,0,1,1,1,1,0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,0,TARANTO,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_72DA38E192FF,N_ACF3D2764DA3,15,15,0,0,0,0,1,14,0,14,6,2,0,0,152.0,0.0,152.0,10.133333333333333,9.0,17.0,19.9,0,PESCARA,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_188AB87A65BC,15,15,0,0,0,0,0,0,15,0,0,0,0,0,0.0,61.0,-61.0,-4.066666666666666,-4.0,-3.0,-2.700000000000001,0,MILANO CENTRALE,UDINE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_26FAC2401D1E,29,29,0,0,0,0,13,8,8,8,4,2,0,0,121.0,14.0,107.0,3.689655172413793,3.0,13.0,14.799999999999994,0,MILANO CENTRALE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_29D6951DFB5A,15,15,0,0,0,0,3,1,11,1,0,0,0,0,18.0,44.0,-26.0,-1.7333333333333334,-4.0,3.5999999999999996,5.199999999999996,0,MILANO CENTRALE,TRIESTE CENTRALE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_2B5A38574141,14,14,0,0,0,0,1,12,1,12,11,9,3,1,400.0,3.0,397.0,28.357142857142858,19.0,48.7,81.19999999999996,0,MILANO CENTRALE,BARI CENTRALE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_607096404A55,3,3,0,0,0,0,1,2,0,2,2,1,1,0,44.0,0.0,44.0,14.666666666666666,10.0,26.0,28.0,0,MILANO CENTRALE,SAPRI
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_72DA38E192FF,15,15,0,0,0,0,7,5,3,5,2,1,1,1,216.0,6.0,210.0,14.0,2.0,10.799999999999999,60.29999999999983,0,MILANO CENTRALE,PESCARA
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_BF0DC42C9523,15,15,0,0,0,0,5,2,8,2,0,0,0,0,22.0,40.0,-18.0,-1.2,-3.0,4.999999999999998,7.299999999999999,0,MILANO CENTRALE,LECCE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_C03F51FB3BED,12,12,0,0,0,0,4,6,2,6,4,3,3,1,288.0,11.0,277.0,23.083333333333332,6.0,40.900000000000006,101.3999999999999,0,MILANO CENTRALE,SALERNO
