giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02-13,REG,S01146,S19919,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,MALPENSA AEROPORTO TERMINAL 2,STABIO
2026-02-13,REG,S01205,S01708,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,11,-11,-2.75,-2.0,-1.2999999999999998,-1.1500000000000004,0,VARESE,TREVIGLIO
2026-02-13,REG,S01307,S01645,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0.5,0.5,1.7000000000000002,1.85,0,COMO S.GIOVANNI,MILANO PORTA GARIBALDI
2026-02-13,REG,S01316,S01066,2,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,1.5,1.5,2.7,2.85,0,CAMNAGO-LENTATE,MILANO CADORNA
2026-02-13,REG,S01326,S05000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,MILANO GRECO PIRELLI,PIACENZA
2026-02-13,REG,S01400,S01420,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,0,CHIAVENNA,COLICO
2026-02-13,REG,S01420,S01400,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,0,COLICO,CHIAVENNA
2026-02-13,REG,S01430,S01700,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,1,SONDRIO,MILANO CENTRALE
2026-02-13,REG,S01440,S01700,4,4,0,0,0,0,3,1,0,1,0,0,0,0,13,0,13,3.25,3.5,4.7,4.85,0,TIRANO,MILANO CENTRALE
2026-02-13,REG,S01520,S01645,2,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,1.5,1.5,1.9,1.95,0,LECCO,MILANO PORTA GARIBALDI
2026-02-13,REG,S01642,S01825,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.8,0.8999999999999999,0,MILANO BOVISA POLITECNICO,LODI
2026-02-13,REG,S01642,S01860,2,2,0,0,0,0,0,1,1,1,0,0,0,0,7,1,6,3.0,3.0,6.2,6.6,0,MILANO BOVISA POLITECNICO,PAVIA
2026-02-13,REG,S01645,S00452,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,0,MILANO PORTA GARIBALDI,TORINO LINGOTTO
2026-02-13,REG,S01645,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,MILANO PORTA GARIBALDI,CHIASSO
2026-02-13,REG,S01645,S01307,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,MILANO PORTA GARIBALDI,COMO S.GIOVANNI
2026-02-13,REG,S01645,S01520,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,-4,-2.0,-2.0,-2.0,-2.0,0,MILANO PORTA GARIBALDI,LECCO
2026-02-13,REG,S01645,S05043,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,4.0,4.0,4.0,4.0,0,MILANO PORTA GARIBALDI,BOLOGNA CENTRALE
2026-02-13,REG,S01700,S01030,3,3,0,0,0,0,1,2,0,2,0,0,0,0,19,0,19,6.333333333333333,6.0,8.4,8.7,0,MILANO CENTRALE,GALLARATE
2026-02-13,REG,S01700,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,0,MILANO CENTRALE,CHIASSO
2026-02-13,REG,S01700,S01430,3,3,0,0,0,0,0,1,2,1,0,0,0,0,6,8,-2,-0.6666666666666666,-3.0,4.2,5.1,0,MILANO CENTRALE,SONDRIO
2026-02-13,REG,S01700,S01440,2,2,0,0,0,0,0,2,0,2,1,0,0,0,19,0,19,9.5,9.5,9.9,9.95,0,MILANO CENTRALE,TIRANO
2026-02-13,REG,S01700,S02430,2,2,0,0,0,0,1,1,0,1,0,0,0,0,9,0,9,4.5,4.5,7.3,7.649999999999999,0,MILANO CENTRALE,VERONA PORTA NUOVA
2026-02-13,REG,S01700,S04702,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,4.0,4.0,4.0,4.0,0,MILANO CENTRALE,GENOVA BRIGNOLE
2026-02-13,REG,S01703,S00248,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1,-0.5,-0.5,-0.0999999999999999,-0.05,0,PIOLTELLO LIMITO,NOVARA
2026-02-13,REG,S01708,S01205,4,4,0,0,0,0,3,0,1,0,0,0,0,0,6,1,5,1.25,1.5,2.7,2.85,0,TREVIGLIO,VARESE
2026-02-13,REG,S01810,S01326,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,TORTONA,MILANO GRECO PIRELLI
2026-02-13,REG,S01820,S00034,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,0,MILANO ROGOREDO,MORTARA
2026-02-13,REG,S01820,S01059,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,0,MILANO ROGOREDO,ALBAIRATE-VERMEZZO
2026-02-13,REG,S01825,S01642,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,3,-2,-1.0,-1.0,0.6000000000000001,0.7999999999999998,0,LODI,MILANO BOVISA POLITECNICO
2026-02-13,REG,S01860,S01642,2,2,0,0,0,0,0,1,1,1,0,0,0,0,8,1,7,3.5,3.5,7.1000000000000005,7.55,0,PAVIA,MILANO BOVISA POLITECNICO
2026-02-13,REG,S01933,S01066,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,0,SARONNO,MILANO CADORNA
2026-02-13,REG,S02011,S02114,1,1,0,0,0,0,0,1,0,1,1,1,0,0,29,0,29,29.0,29.0,29.0,29.0,0,FORTEZZA,S.CANDIDO
2026-02-13,REG,S02114,S02011,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,S.CANDIDO,FORTEZZA
2026-02-13,REG,S02550,S02559,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,CALALZO PIEVE CADORE CORTINA,BELLUNO
2026-02-13,REG,S02559,S02581,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-10,-5.0,-5.0,-3.4,-3.2,0,BELLUNO,PADOVA
2026-02-13,REG,S02559,S02593,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,BELLUNO,VENEZIA S.LUCIA
2026-02-13,REG,S02581,S02559,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,PADOVA,BELLUNO
2026-02-13,REG,S02593,S03026,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,0,VENEZIA S.LUCIA,UDINE
2026-02-13,REG,S02593,S03200,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,0,VENEZIA S.LUCIA,PORTOGRUARO CAORLE
