mese,tipo_giorno,fascia_oraria,categoria,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ritardo_mediano,p95,ritardo_medio,p90
2024-06,infrasettimanale,tarda_mattina,ICN,0,31,0,30.0,1,346.0,31,6,14,0,16,10,16,0,0,3,9,376.0,7.0,37.0,11.161290322580646,29.0
2024-06,infrasettimanale,tarda_mattina,MET,0,912,0,1223.0,0,-238.0,912,318,19,0,56,7,56,0,0,0,535,985.0,-1.0,5.0,-0.2618261826182618,3.0
2024-06,infrasettimanale,tarda_mattina,NCL,0,2,0,85.0,0,-85.0,2,0,0,0,0,0,0,0,0,0,2,0.0,-42.5,-25.85,-42.5,-27.7
2024-06,infrasettimanale,tarda_mattina,REG,0,29665,0,28129.0,95,59473.0,29665,13446,1965,0,4984,1122,4984,0,0,368,11118,87602.0,1.0,12.0,2.012758900771626,7.0
2024-06,infrasettimanale,tarda_mattina,,0,2054,0,1330.0,182,35482.0,2054,532,792,0,1146,602,1146,0,0,370,374,36812.0,6.0,82.75,17.29142300194932,52.5
2024-06,weekend,mattina,EC,0,18,0,32.0,1,58.0,18,7,1,0,3,1,3,0,0,1,8,90.0,0.0,17.39999999999992,3.2222222222222223,7.599999999999999
2024-06,weekend,mattina,IC,0,203,0,236.0,12,2542.0,203,57,58,0,95,43,95,0,0,22,49,2778.0,3.0,69.0,12.64676616915423,36.0
2024-06,weekend,mattina,ICN,0,4,0,74.0,0,-74.0,4,0,0,0,0,0,0,0,0,0,4,0.0,-22.5,-4.8500000000000085,-18.5,-7.699999999999996
2024-06,weekend,mattina,MET,0,277,0,318.0,0,-123.0,277,107,3,0,8,1,8,0,0,0,151,195.0,-1.0,3.0,-0.4624060150375939,2.0
2024-06,weekend,mattina,REG,0,8552,0,8858.0,21,11557.0,8552,3689,463,0,1129,265,1129,0,0,95,3425,20415.0,0.0,10.0,1.4020380929273324,6.0
