mese,categoria,tipo_giorno,fascia_oraria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2024-06,,infrasettimanale,mattina,"(-1,0]",24,0.0,0.0
2024-06,,infrasettimanale,mattina,"(-10,-5]",83,0.0,520.0
2024-06,,infrasettimanale,mattina,"(-15,-10]",11,0.0,120.0
2024-06,,infrasettimanale,mattina,"(-5,-1]",182,0.0,449.0
2024-06,,infrasettimanale,mattina,"(0,1]",57,57.0,0.0
2024-06,,infrasettimanale,mattina,"(1,5]",259,883.0,0.0
2024-06,,infrasettimanale,mattina,"(10,15]",105,1335.0,0.0
2024-06,,infrasettimanale,mattina,"(15,30]",121,2663.0,0.0
2024-06,,infrasettimanale,mattina,"(30,60]",82,3718.0,0.0
2024-06,,infrasettimanale,mattina,"(5,10]",180,1398.0,0.0
2024-06,,infrasettimanale,mattina,"(60,120]",41,3265.0,0.0
2024-06,,infrasettimanale,mattina,> 120,7,1225.0,0.0
2024-06,,infrasettimanale,notte,"(-1,0]",23,0.0,0.0
2024-06,,infrasettimanale,notte,"(-10,-5]",44,0.0,290.0
2024-06,,infrasettimanale,notte,"(-15,-10]",4,0.0,41.0
2024-06,,infrasettimanale,notte,"(-5,-1]",86,0.0,222.0
2024-06,,infrasettimanale,notte,"(0,1]",30,30.0,0.0
2024-06,,infrasettimanale,notte,"(1,5]",79,280.0,0.0
2024-06,,infrasettimanale,notte,"(10,15]",28,359.0,0.0
2024-06,,infrasettimanale,notte,"(15,30]",24,512.0,0.0
2024-06,,infrasettimanale,notte,"(30,60]",18,736.0,0.0
2024-06,,infrasettimanale,notte,"(5,10]",46,366.0,0.0
2024-06,,infrasettimanale,notte,"(60,120]",8,699.0,0.0
2024-06,,infrasettimanale,notte,missing,1,0.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(-1,0]",36,0.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(-10,-5]",49,0.0,327.0
2024-06,,infrasettimanale,pomeriggio,"(-15,-10]",7,0.0,73.0
2024-06,,infrasettimanale,pomeriggio,"(-5,-1]",119,0.0,256.0
2024-06,,infrasettimanale,pomeriggio,"(0,1]",48,48.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(1,5]",190,634.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(10,15]",97,1230.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(15,30]",126,2732.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(30,60]",93,3910.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(5,10]",147,1141.0,0.0
2024-06,,infrasettimanale,pomeriggio,"(60,120]",64,5158.0,0.0
2024-06,,infrasettimanale,pomeriggio,> 120,10,1571.0,0.0
2024-06,,infrasettimanale,pomeriggio,missing,1,0.0,0.0
2024-06,,infrasettimanale,sera,"(-1,0]",17,0.0,0.0
2024-06,,infrasettimanale,sera,"(-10,-5]",30,0.0,198.0
2024-06,,infrasettimanale,sera,"(-15,-10]",2,0.0,21.0
2024-06,,infrasettimanale,sera,"(-5,-1]",59,0.0,134.0
2024-06,,infrasettimanale,sera,"(0,1]",26,26.0,0.0
2024-06,,infrasettimanale,sera,"(1,5]",82,281.0,0.0
2024-06,,infrasettimanale,sera,"(10,15]",39,481.0,0.0
2024-06,,infrasettimanale,sera,"(15,30]",44,1005.0,0.0
2024-06,,infrasettimanale,sera,"(30,60]",21,874.0,0.0
2024-06,,infrasettimanale,sera,"(5,10]",57,439.0,0.0
2024-06,,infrasettimanale,sera,"(60,120]",6,511.0,0.0
2024-06,,infrasettimanale,sera,> 120,1,152.0,0.0
