
codice,nome_norm,lat,lon
S01700,MILANO CENTRALE,45.4858,9.2044
S08409,ROMA TERMINI,41.9010,12.5018
S11119,BARI CENTRALE,41.1177,16.8719
S09218,NAPOLI CENTRALE,40.8521,14.2726
S00219,TORINO P.NUOVA,45.0615,7.6782
S12349,SIRACUSA,37.0693,15.2873
S11781,REGGIO CALABRIA CENTRALE,38.1093,15.6482
S09818,SALERNO,40.6779,14.7681
S04725,SESTRI LEVANTE,44.2738,9.3952
S08217,ROMA TIBURTINA,41.9101,12.5305
S03015,TARVISIO BOSCOVERDE,46.5057,13.5830
S11145,LECCE,40.3521,18.1740
