giorno,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2026-02-14,EC,S01003,8,8,0,0,0,0,1,3,4,3,0,0,0,0,20,35,-15,-1.875,-1.5,6.6,7.299999999999999,arrivo,DOMODOSSOLA
2026-02-14,EC,S01003,8,8,0,0,0,0,2,6,0,6,5,2,0,0,94,0,94,11.75,10.5,25.9,26.95,partenza,DOMODOSSOLA
2026-02-14,EC,S01301,13,13,0,0,0,0,4,1,8,1,0,0,0,0,9,28,-19,-1.4615384615384615,-3.0,1.0,2.5999999999999943,arrivo,CHIASSO
2026-02-14,EC,S01301,13,13,0,0,0,0,2,3,8,3,1,1,0,0,30,20,10,0.7692307692307693,-1.0,5.800000000000001,10.799999999999983,partenza,CHIASSO
2026-02-14,EC,S01700,18,18,0,0,0,0,4,6,8,6,4,1,0,0,76,20,56,3.111111111111111,0.0,11.0,13.549999999999976,arrivo,MILANO CENTRALE
2026-02-14,EC,S01700,18,18,0,0,0,0,4,4,10,4,0,0,0,0,28,50,-22,-1.2222222222222223,-3.0,5.300000000000001,6.299999999999997,partenza,MILANO CENTRALE
2026-02-14,EC,S02001,6,6,0,0,0,0,3,2,1,2,2,1,0,0,36,2,34,5.666666666666667,2.5,15.0,16.5,arrivo,BRENNERO
2026-02-14,EC,S02001,6,6,0,0,0,0,0,5,1,5,4,4,2,0,124,1,123,20.5,19.0,39.0,39.0,partenza,BRENNERO
2026-02-14,EC,S02026,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,arrivo,BOLZANO
2026-02-14,EC,S02026,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,partenza,BOLZANO
2026-02-14,EC,S02430,1,1,0,0,0,0,0,1,0,1,1,1,1,0,39,0,39,39.0,39.0,39.0,39.0,arrivo,VERONA PORTA NUOVA
2026-02-14,EC,S02430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,partenza,VERONA PORTA NUOVA
2026-02-14,EC,S02593,4,4,0,0,0,0,0,4,0,4,3,3,0,0,73,0,73,18.25,20.0,24.1,24.549999999999997,arrivo,VENEZIA S.LUCIA
2026-02-14,EC,S02593,4,4,0,0,0,0,2,1,1,1,1,0,0,0,16,10,6,1.5,2.0,9.3,10.649999999999997,partenza,VENEZIA S.LUCIA
2026-02-14,EC,S05043,3,3,0,0,0,0,0,3,0,3,2,2,1,0,60,0,60,20.0,16.0,34.4,36.699999999999996,arrivo,BOLOGNA CENTRALE
2026-02-14,EC,S05043,2,2,0,0,0,0,1,1,0,1,1,1,0,0,20,0,20,10.0,10.0,16.4,17.2,partenza,BOLOGNA CENTRALE
2026-02-14,EC,S06421,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,partenza,FIRENZE SANTA MARIA NOVELLA
2026-02-14,ECFR,S00201,2,2,0,0,0,0,0,2,0,2,2,0,0,0,26,0,26,13.0,13.0,13.8,13.9,partenza,MODANE
