mese,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2026-02,EC,54,54,0,0,0,0,12,16,26,16,7,4,3,1,287,95,192,3.5555555555555554,0.5,11.400000000000006,26.649999999999892,0
2026-02,ECFR,2,2,0,0,0,0,0,2,0,2,0,0,0,0,13,0,13,6.5,6.5,6.9,6.95,0
2026-02,EN,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,0
2026-02,EXP,3,2,0,1,0,0,1,1,1,1,0,0,0,0,5,8,-3,-1.0,0.0,4.0,4.5,0
2026-02,FA,15,15,0,0,0,0,6,2,7,2,1,1,1,0,57,52,5,0.3333333333333333,1.0,6.399999999999999,15.799999999999972,0
2026-02,FB,8,6,0,0,2,0,1,6,1,6,4,2,0,0,86,2,84,10.5,10.0,19.9,24.449999999999992,2
2026-02,FR,209,209,0,0,0,0,50,85,74,85,46,24,8,1,1358,383,975,4.6650717703349285,3.0,16.200000000000017,23.599999999999994,0
2026-02,IC,108,106,2,0,0,0,39,14,55,14,10,5,0,0,268,358,-90,-0.8333333333333334,-1.0,7.0,14.0,2
2026-02,ICN,19,19,0,0,0,0,5,1,13,1,1,0,0,0,20,93,-73,-3.8421052631578947,-3.0,1.5999999999999979,4.999999999999979,0
2026-02,MET,186,186,0,0,0,0,80,3,103,3,1,1,0,0,149,267,-118,-0.6344086021505376,-1.0,2.0,4.0,0
2026-02,NCL,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,78,-78,-39.0,-39.0,-36.6,-36.3,0
2026-02,REG,5310,5244,40,26,0,0,2226,555,2529,555,169,94,35,4,9312,6778,2534,0.47721280602636534,0.0,5.0,7.0,40
2026-02,nan,2,2,0,0,0,0,1,1,0,1,0,0,0,0,7,0,7,3.5,3.5,4.7,4.85,0
2026-02,,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0.0,0.0,1.6,1.7999999999999998,0
