giorno,ora,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02-13,13:00,IC,S01700,partenza,"(10,15]",1,12,0
2026-02-13,13:00,IC,S09818,arrivo,"(10,15]",1,12,0
2026-02-13,14:00,FR,S01700,partenza,"(1,5]",1,2,0
2026-02-13,14:00,FR,S11781,arrivo,"(1,5]",1,2,0
2026-02-13,15:00,ICN,S00219,partenza,"(-10,-5]",1,0,7
2026-02-13,15:00,ICN,S11781,arrivo,"(-10,-5]",1,0,7
2026-02-13,16:00,IC,S04725,arrivo,"(30,60]",1,32,0
2026-02-13,16:00,IC,S08409,partenza,"(-15,-10]",1,0,10
2026-02-13,16:00,IC,S09218,partenza,"(30,60]",1,32,0
2026-02-13,16:00,IC,S11781,arrivo,"(-15,-10]",1,0,10
2026-02-13,16:00,ICN,S01700,arrivo,"(30,60]",1,44,0
2026-02-13,16:00,ICN,S12301,partenza,"(30,60]",1,44,0
2026-02-13,17:00,IC,S00219,arrivo,"(-10,-5]",1,0,5
2026-02-13,17:00,IC,S01700,partenza,"(-10,-5]",1,0,7
2026-02-13,17:00,IC,S07226,arrivo,"(-10,-5]",1,0,7
2026-02-13,17:00,IC,S11781,partenza,"(-10,-5]",1,0,5
2026-02-13,18:00,ICN,S03317,partenza,"(-1,0]",1,0,0
2026-02-13,18:00,ICN,S08409,arrivo,"(-1,0]",1,0,0
2026-02-13,19:00,FR,S01700,arrivo,"(-1,0]",1,0,0
2026-02-13,19:00,FR,S08409,partenza,"(-1,0]",1,0,0
2026-02-13,19:00,IC,S01700,partenza,"(-1,0]",1,0,0
2026-02-13,19:00,IC,S12301,arrivo,"(-1,0]",1,0,0
2026-02-13,19:00,ICN,S01700,arrivo,"(5,10]",2,16,0
2026-02-13,19:00,ICN,S11145,partenza,"(5,10]",2,16,0
2026-02-13,20:00,EXP,S07113,arrivo,"(10,15]",1,11,0
2026-02-13,20:00,EXP,S08406,partenza,"(10,15]",1,11,0
2026-02-13,20:00,IC,S01700,partenza,"(15,30]",1,29,0
2026-02-13,20:00,IC,S01700,partenza,"(5,10]",1,7,0
2026-02-13,20:00,IC,S04501,arrivo,"(5,10]",1,7,0
2026-02-13,20:00,IC,S05007,arrivo,"(-5,-1]",1,0,2
2026-02-13,20:00,IC,S06000,arrivo,"(15,30]",1,29,0
2026-02-13,20:00,IC,S08409,partenza,"(15,30]",1,25,0
2026-02-13,20:00,IC,S11145,partenza,"(-5,-1]",1,0,2
2026-02-13,20:00,IC,S12301,arrivo,"(15,30]",1,25,0
2026-02-13,20:00,ICN,S00219,arrivo,"(-5,-1]",1,0,3
2026-02-13,20:00,ICN,S00219,arrivo,"(10,15]",1,14,0
2026-02-13,20:00,ICN,S00219,partenza,"(-10,-5]",2,0,13
2026-02-13,20:00,ICN,S00219,partenza,"(10,15]",1,12,0
2026-02-13,20:00,ICN,S09818,arrivo,"(-10,-5]",2,0,13
2026-02-13,20:00,ICN,S09818,partenza,"(-5,-1]",1,0,3
2026-02-13,20:00,ICN,S09818,partenza,"(10,15]",1,14,0
2026-02-13,20:00,ICN,S11145,arrivo,"(10,15]",1,12,0
2026-02-13,20:00,REG,S06500,arrivo,"(-5,-1]",1,0,2
2026-02-13,20:00,REG,S08409,partenza,"(-5,-1]",1,0,2
2026-02-13,21:00,ICN,S01700,partenza,"(-10,-5]",1,0,6
2026-02-13,21:00,ICN,S01700,partenza,"(-5,-1]",1,0,2
2026-02-13,21:00,ICN,S11145,arrivo,"(-10,-5]",1,0,6
2026-02-13,21:00,ICN,S11145,arrivo,"(-5,-1]",1,0,2
2026-02-13,21:00,REG,S01440,arrivo,"(5,10]",1,10,0
2026-02-13,21:00,REG,S01440,partenza,"(1,5]",1,4,0
2026-02-13,21:00,REG,S01700,arrivo,"(1,5]",1,4,0
2026-02-13,21:00,REG,S01700,partenza,"(5,10]",1,10,0
2026-02-13,21:00,REG,S07113,arrivo,"(1,5]",1,5,0
2026-02-13,21:00,REG,S08409,partenza,"(1,5]",1,5,0
2026-02-13,22:00,IC,S08409,arrivo,"(-5,-1]",1,0,3
2026-02-13,22:00,IC,S12301,partenza,"(-5,-1]",1,0,3
2026-02-13,22:00,ICN,S03317,arrivo,"(-10,-5]",1,0,5
2026-02-13,22:00,ICN,S08409,partenza,"(-10,-5]",1,0,5
2026-02-13,22:00,REG,S00248,arrivo,"(-5,-1]",1,0,1
2026-02-13,22:00,REG,S00452,arrivo,"(-5,-1]",1,0,4
2026-02-13,22:00,REG,S01030,arrivo,"(5,10]",1,6,0
2026-02-13,22:00,REG,S01030,partenza,"(-5,-1]",1,0,2
2026-02-13,22:00,REG,S01205,arrivo,"(0,1]",1,1,0
2026-02-13,22:00,REG,S01205,arrivo,"(1,5]",1,3,0
2026-02-13,22:00,REG,S01205,partenza,"(-5,-1]",2,0,4
2026-02-13,22:00,REG,S01430,arrivo,"(-5,-1]",1,0,3
2026-02-13,22:00,REG,S01440,arrivo,"(5,10]",1,9,0
2026-02-13,22:00,REG,S01440,partenza,"(1,5]",1,5,0
2026-02-13,22:00,REG,S01645,partenza,"(-5,-1]",1,0,4
2026-02-13,22:00,REG,S01645,partenza,"(1,5]",1,4,0
2026-02-13,22:00,REG,S01700,arrivo,"(-5,-1]",1,0,2
2026-02-13,22:00,REG,S01700,arrivo,"(1,5]",1,5,0
2026-02-13,22:00,REG,S01700,partenza,"(-5,-1]",1,0,3
2026-02-13,22:00,REG,S01700,partenza,"(0,1]",1,1,0
2026-02-13,22:00,REG,S01700,partenza,"(1,5]",1,4,0
2026-02-13,22:00,REG,S01700,partenza,"(5,10]",2,15,0
2026-02-13,22:00,REG,S01703,partenza,"(-5,-1]",1,0,1
2026-02-13,22:00,REG,S01708,arrivo,"(-5,-1]",2,0,4
2026-02-13,22:00,REG,S01708,partenza,"(0,1]",1,1,0
2026-02-13,22:00,REG,S01708,partenza,"(1,5]",1,3,0
2026-02-13,22:00,REG,S02430,arrivo,"(0,1]",1,1,0
2026-02-13,22:00,REG,S02559,arrivo,"(0,1]",1,1,0
2026-02-13,22:00,REG,S02559,partenza,"(-1,0]",1,0,0
2026-02-13,22:00,REG,S02559,partenza,"(-5,-1]",1,0,3
2026-02-13,22:00,REG,S02581,arrivo,"(-5,-1]",1,0,3
