mese,corse_osservate,ritardo_medio,ritardo_mediano,p90,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,p95
2024-06-01,170347,2.559427651650997,0.782608695652174,8.695652173913043,25404.0,12523.0,7751.0,3016.0,864.0,,,,,,,,,,,,
2025-12,77,0.1168831168831168,-1.0,5.400000000000006,9.0,5.0,2.0,2.0,1.0,77.0,0.0,0.0,0.0,0.0,21.0,9.0,47.0,206.0,197.0,9.0,10.600000000000009
2026-01,9356,1.4113937580162463,0.0,6.0,1524.0,533.0,280.0,94.0,7.0,9356.0,0.0,0.0,0.0,0.0,3992.0,1524.0,3840.0,23721.0,10516.0,13205.0,10.0
2024-06-01 00:00:00,170347,2.4732172589315446,1.0,8.0,25404.0,12523.0,7751.0,3016.0,864.0,168168.0,2179.0,0.0,0.0,2179.0,16036.0,88002.0,64130.0,584758.0,168842.0,415916.0,15.0
2024-06-01 00:00:00,170347,2.4732172589315446,1.0,8.0,25404.0,12523.0,7751.0,3016.0,864.0,168168.0,2179.0,0.0,0.0,2179.0,16036.0,88002.0,64130.0,584758.0,168842.0,415916.0,15.0
