mese,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02,EC,S01003,S01700,12,12,0,0,0,0,3,9,0,9,6,2,0,0,122,0,122,10.166666666666666,8.5,22.900000000000006,25.799999999999997,0,DOMODOSSOLA,MILANO CENTRALE
2026-02,EC,S01003,S02593,2,2,0,0,0,0,0,2,0,2,2,2,0,0,41,0,41,20.5,20.5,24.1,24.55,0,DOMODOSSOLA,VENEZIA S.LUCIA
2026-02,EC,S01301,S01700,22,22,0,0,0,0,7,4,11,4,0,0,0,0,29,28,1,0.045454545454545456,-0.5,5.0,5.949999999999999,0,CHIASSO,MILANO CENTRALE
2026-02,EC,S01301,S02593,2,2,0,0,0,0,0,1,1,1,1,1,0,0,18,1,17,8.5,8.5,16.1,17.05,0,CHIASSO,VENEZIA S.LUCIA
2026-02,EC,S01301,S05043,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,CHIASSO,BOLOGNA CENTRALE
2026-02,EC,S01301,S06421,1,1,0,0,0,0,0,1,0,1,1,1,1,0,33,0,33,33.0,33.0,33.0,33.0,0,CHIASSO,FIRENZE SANTA MARIA NOVELLA
2026-02,EC,S01700,S01003,12,12,0,0,0,0,3,4,5,4,1,0,0,0,37,37,0,0.0,0.5,7.800000000000001,10.699999999999996,0,MILANO CENTRALE,DOMODOSSOLA
2026-02,EC,S01700,S01301,22,22,0,0,0,0,7,2,13,2,1,1,0,0,41,41,0,0.0,-2.5,2.8000000000000043,4.899999999999999,0,MILANO CENTRALE,CHIASSO
2026-02,EC,S02001,S02026,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,-5,-2.5,-2.5,-1.2999999999999998,-1.1500000000000001,0,BRENNERO,BOLZANO
2026-02,EC,S02001,S02430,2,2,0,0,0,0,1,1,0,1,1,1,1,0,40,0,40,20.0,20.0,35.2,37.1,0,BRENNERO,VERONA PORTA NUOVA
