mese,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,ruolo,nome_stazione
2026-02,EC,S01003,14,14,0,0,0,0,4,4,6,4,1,0,0,0,37,47,-10,-0.7142857142857143,0.0,7.400000000000002,10.099999999999998,0,arrivo,DOMODOSSOLA
2026-02,EC,S01003,14,14,0,0,0,0,3,11,0,11,8,4,0,0,163,0,163,11.642857142857142,10.5,24.700000000000003,26.049999999999997,0,partenza,DOMODOSSOLA
2026-02,EC,S01301,26,26,0,0,0,0,9,2,15,2,1,1,0,0,44,45,-1,-0.038461538461538464,-1.5,2.5,4.5,0,arrivo,CHIASSO
2026-02,EC,S01301,26,26,0,0,0,0,7,7,12,7,2,2,1,0,85,29,56,2.1538461538461537,0.0,7.5,15.75,0,partenza,CHIASSO
2026-02,EC,S01700,34,34,0,0,0,0,10,13,11,13,6,2,0,0,151,28,123,3.6176470588235294,1.0,11.0,16.849999999999977,0,arrivo,MILANO CENTRALE
2026-02,EC,S01700,34,34,0,0,0,0,10,6,18,6,2,1,0,0,78,78,0,0.0,-1.5,5.699999999999999,10.099999999999987,0,partenza,MILANO CENTRALE
2026-02,EC,S02001,12,12,0,0,0,0,6,4,2,4,2,1,0,0,54,6,48,4.0,2.5,11.700000000000001,14.699999999999996,0,arrivo,BRENNERO
2026-02,EC,S02001,12,12,0,0,0,0,2,6,4,6,5,5,2,0,154,10,144,12.0,4.5,37.900000000000006,39.0,0,partenza,BRENNERO
2026-02,EC,S02026,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,-5,-2.5,-2.5,-1.2999999999999998,-1.1500000000000001,0,arrivo,BOLZANO
2026-02,EC,S02026,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.8,2.9,0,partenza,BOLZANO
2026-02,EC,S02430,2,2,0,0,0,0,1,1,0,1,1,1,1,0,40,0,40,20.0,20.0,35.2,37.1,0,arrivo,VERONA PORTA NUOVA
2026-02,EC,S02430,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6,-6,-3.0,-3.0,-2.2,-2.1,0,partenza,VERONA PORTA NUOVA
2026-02,EC,S02593,8,8,0,0,0,0,1,5,2,5,4,4,0,0,90,4,86,10.75,12.0,22.9,23.95,0,arrivo,VENEZIA S.LUCIA
2026-02,EC,S02593,8,8,0,0,0,0,5,1,2,1,1,0,0,0,17,11,6,0.75,0.5,5.699999999999998,8.849999999999994,0,partenza,VENEZIA S.LUCIA
2026-02,EC,S05043,5,5,0,0,0,0,0,4,1,4,3,3,1,0,88,2,86,17.2,16.0,34.6,36.8,0,arrivo,BOLOGNA CENTRALE
